Country,Sail Nb.,Name,,,Cavalaire,Riva,Kalovig,Nieuwpoort,Hayling Island,Cavalaire Points,Riva Points,Kalovig Points,Nieuwpoort Points,Hayling Island Points,,,,,,
GBR,8583,Delves Chris,,,,,,,33,0,0,0,0,18,,,1,,18,137
GER,8475,Berggren Goran,,,,33,,,,0,18,0,0,0,,,1,,18,138
BEL,8106,Raucent Benoit,,,,,,34,,0,0,0,17,0,,,1,,17,139
GBR,8184,Zucconi Damien,,,,,,,34,0,0,0,0,17,,,1,,17,140
FRA,8509,Muh Pierre,,,,,,35,,0,0,0,16,0,,,1,,16,141
GBR,8540,Scarisbrick Tim,,,,,,,35,0,0,0,0,16,,,1,,16,142
GER,8598,Riedl Klaus,,,,35,,,,0,16,0,0,0,,,1,,16,143
FRA,8521,Chartier Jean-Philippe,,,65,,,,,16,0,0,0,0,,,1,,16,144
FRA,8447,Puissant Jean-Guy,,,,,,36,,0,0,0,15,0,,,1,,15,145
FRA,275,Noclain Jean-Marc,,,,,,37,,0,0,0,14,0,,,1,,14,146
GER,8546,Hansgen Dirk,,,67,,,,,14,0,0,0,0,,,1,,14,147
FRA,8301,Blondy Bernard,,,,,,38,,0,0,0,13,0,,,1,,13,148
GER,8664,Carsten Hammer,,,68,,,,,13,0,0,0,0,,,1,,13,149
BEL,8350,Vanikaut Bruno,,,,,,39,,0,0,0,12,0,,,1,,12,150
GER,8424,Gerdts Peter,,,69,,,,,12,0,0,0,0,,,1,,12,151
FRA,7931,Dupont Jean-Baptiste,,,71,,,,,10,0,0,0,0,,,1,,10,152
GER,8473,Kraft Olivier,,,72,,,,,9,0,0,0,0,,,1,,9,153
GER,8373,Labenz Siegfried,,,74,,,,,7,0,0,0,0,,,1,,7,154
FRA,8090,Blevez Loïc,,,75,,,,,6,0,0,0,0,,,1,,6,155
GBR,8635,Nocholson Steven,,,76,,,,,5,0,0,0,0,,,1,,5,156
FRA,8188,Le Norment Philippe,,,77,,,,,4,0,0,0,0,,,1,,4,157
GER,8599,Kaiser Maik,,,78,,,,,3,0,0,0,0,,,1,,3,158
FRA,8484,Schaedelin Eric,,,79,,,,,2,0,0,0,0,,,1,,2,159
SUI,8612,Bohrens Martins,,,80,,,,,1,0,0,0,0,,,1,,1,160
FRA,8363,Bourgoin Jérôme,,,92,,,,,0,0,0,0,0,,,1,,0,161
FRA,8007,Brotschi Yann,,,88,,,,,0,0,0,0,0,,,1,,0,162
FRA,7888,De Mouillac Benoît,,,87,,,,,0,0,0,0,0,,,1,,0,163
FRA,7940,De Restrepo Guy,,,82,,,,,0,0,0,0,0,,,1,,0,164
FRA,8401,Duquesne Philippe,,,84,,,,,0,0,0,0,0,,,1,,0,165
FRA,8353,Fossard Robert,,,86,,,,,0,0,0,0,0,,,1,,0,166
GER,7778,Frank Dirk,,,85,,,,,0,0,0,0,0,,,1,,0,167
GER,8582,Ihmels Detlef,,,91,,,,,0,0,0,0,0,,,1,,0,168
FRA,8037,Le Roux Jean-Pierre,,,89,,,,,0,0,0,0,0,,,1,,0,169
SUI,8374,Studler Pawel,,,83,,,,,0,0,0,0,0,,,1,,0,170
GER,8414,Worm Stefan,,,90,,,,,0,0,0,0,0,,,1,,0,171
