Event Start Date,Event End Date,Name,English Name,Races,Competitors,City,Organizer,Secretary,Arbiter,Wind direction,Wind power,Post Content,File,Series,On the water of,Country,Added date,Source,Places,,,,,
2000-03-22,2000-03-26,Mini Open,,2,5,Chew Valley,Chew Valley Lake SC,,,,,,2000/country/uk/2000-03-26.mini-open.chew-valley.GBR.csv,,,GBR,2020-08-13,,,,,,,
2000-04-08,2000-04-09,Kompaßregatta,Kompass Regatta,3,25,Bevertalsperre,,,,,,,2000/country/germany/2000-04-09.kompass-regatta.bevertalsperre.GER.csv,,,GER,2021-07-03,,,,,,,
2000-04-15,2000-04-15,Spring Bow I,,4,4,"Eastport, MD",Severn Sailing Association,,,,,,2000/country/usa/2000-04-15.spring-bow-i.eastport-md.USA.csv,,Chesapeake Bay,USA,2020-08-29,,,,,,,
2000-04-15,2000-04-16,Hi-Per/Spring Dinghy Regatta,,7,12,"Marina Del Rey, CA",California Yacht Club,David Collins,,,,,2000/country/usa/2000-04-16.hi-per-spring-dinghy-regatta.marina-del-rey-ca.USA.csv,,,USA,2020-08-29,,,,,,,
2000-04-15,2000-04-16,Inland Championship,,6,29,Huntingdon,Grafham Water Sailing Club,,,,,,2000/country/uk/2000-04-16.uk-inland-championship.huntingdon.GBR.csv,,,GBR,2020-08-28,,,,,,,
2000-04-15,2000-04-16,Trapezregatta,Trapeze Regatta,4,21,Wunstorf,Schaumburg Lippischer Segelverein,,,,,,2000/country/germany/2000-04-16.trapeze-regatta.wunstorf.GER.csv,,Steinhuder Meer,GER,2021-07-04,,,,,,,
2000-04-21,2000-04-23,Cavalaire,,8,73,Cavalaire-sur-Mer,,,,,,Leg 1,2000/country/france/2000-04-23.cavalaire.FRA.csv,Euro Cup,,FRA,2020-08-17,,,,,,,
2000-04-29,2000-04-30,Richmond Spring Invite,,5,14,"Richmond,CA",Richmond Yacht Club,,,,,,2000/country/usa/2000-04-30.richmond-spring-invite.richmond-ca.USA.csv,,,USA,2020-08-29,,,,,,,
2000-04-29,2000-04-30,West River Spring,,6,8,"Galesville, MD",West River Sailing Club,,,,,,2000/country/usa/2000-04-30.west-river-spring.galesville-md.USA.csv,,,USA,2020-08-29,,,,,,,
2000-05-06,2000-05-07,Solent Championship,,2,24,,Stokes Bay SC,,,,,,2000/country/uk/2000-05-07.solent-championships.GBR.csv,,,GBR,2020-08-13,,,,,,,
2000-05-06,2000-05-07,Wittensee Fight,,4,38,Wittensee,Wassersport-Club am Wittensee e.V.,,,,,,2000/country/germany/2000-05-07.wittensee-fight.wittensee.GER.csv,,,GER,2023-08-01,,,,,,,
2000-05-13,2000-05-14,Hoover Spring Regatta,,6,9,"Westerville, OH",Hoover Yacht Club,,,,,,2000/country/usa/2000-05-14.hoover-regatta.columbus-oh.USA.csv,,Hoover Reservoir,USA,2020-08-29,,,,,,,
2000-05-13,2000-05-14,MYC Regatta Starnberg,,4,18,Starnberg,Münchner Yacht-Club e. V.,,,,,,2000/country/germany/2000-05-14.myc-regatta.starnberg.GER.csv,,Starnberger See,GER,2023-08-01,,,,,,,
2000-05-13,2000-05-14,Spring Bow II,,6,12,"Eastport, MD",Severn Sailing Association,,,,,,2000/country/usa/2000-05-14.spring-bow-ii.eastport-md.USA.csv,,Chesapeake Bay,USA,2020-08-29,,,,,,,
2000-05-19,2000-05-21,Scandinavian Championship,,6,,Roskilde,,,,,,,2000/country/denmark/2000-05-21.euro-cup.roskilde.DEN.csv,Euro Cup,,DEN,2020-08-13,,,,,,,
2000-05-20,2000-05-21,Bristol Spring,,8,12,"Bristol, RI",Bristol Yacht Club,,,,,,2000/country/usa/2000-05-21.bristol-spring.bristol-ri.USA.csv,,,USA,2020-08-29,,,,,,,
2000-05-20,2000-05-21,Hampton Trapeze,,7,8,"Hampton, VA",Hampton Yacht Club,,,,,,2000/country/usa/2000-05-21.hampton-trapeze.hampton-va.USA.csv,,,USA,2020-08-29,,,,,,,
2000-05-20,2000-05-21,Küchenschlacht,Kitchen Fight,3,15,Riegsee,,,,,,,2000/country/germany/2000-05-21.kitchen-fight.riegsee.GER.csv,,,GER,2023-08-01,,,,,,,
2000-05-20,2000-05-21,Mini Open,,,6,Derby,Burton Sailing Club,,,,,,2000/country/uk/2000-05-20.mini-open.derby.GBR.csv,,,GBR,2020-08-13,,,,,,,
2000-05-20,2000-05-21,Santa Cruz One Design Spring Open,,5,17,"Santa Cruz, CA",Santa Cruz Yacht Club,,,,,,2000/country/usa/2000-05-21.santa-cruz-one-design-spring-open.santa-cruz-ca.USA.csv,,,USA,2020-08-29,,,,,,,
2000-05-27,2000-05-28,Müritz Cup,,3,16,Müritz,,,,,,,2000/country/germany/2000-05-28.murtiz-cup.robel.GER.csv,,Müritzsee,GER,2023-08-01,,,,,,,
2000-06-01,2000-06-04,Riva del Garda,Riva Cup,7,53,Riva del Garda,Fraglia Vela Riva,,,,,,2000/country/italy/2000-06-04.riva-cup.riva-del-garda.ITA.csv,Euro Cup,Lago di Garda,ITA,2020-08-13,,,,,,,
2000-06-03,2000-06-04,Eck-Days,,5,40,Eckernförde,,,,,,,2000/country/germany/2000-06-03.eck-days.eckernfoerde.GER.csv,,,GER,2021-07-16,,,,,,,
2000-06-03,2000-06-04,Short Course Championship,,6,17,Southminster,Stone Sailing Club,,,,,,2000/country/uk/2000-06-04.short-course-championships.southminster.GBR.csv,,,GBR,2020-08-13,,,,,,,
2000-06-10,2000-06-11,Pfingstbusch,Pentecost Bush,4,40,Kiel,,,,,,,2000/country/germany/2000-06-11.pentecost-bush.kiel.GER.csv,,,GER,2023-08-03,,,,,,,
2000-06-10,2000-06-11,SSA Dinghy Invitational,,9,5,"Eastport, MD",Severn Sailing Association,,,,,,2000/country/usa/2000-06-11.ssa-dinghy-invitational.eastport-md.USA.csv,,Chesapeake Bay,USA,2020-12-02,,,,,,,
2000-06-10,2000-06-12,Pfingstwettfahrten,,3,29,Herrsching a. Ammersee,Herrschinger Segelclub e.V.,,,,,,2000/country/germany/2000-06-12.pfingstwettfahrten.herrsching-a-ammersee.GER.csv,,,GER,2023-08-01,,,,,,,
2000-06-17,2000-06-18,New England Championship,,6,14,"Cape Cod, MA",Falmouth Yacht Club,,,,,,2000/country/usa/2000-07-18.new-england-championship.cape-cod-ma.USA.csv,,,USA,2020-08-27,,,,,,,
2000-06-19,2000-06-22,Kieler Woche,Kiel Week,5,44,Kiel,Kieler Yacht-Club e.V.,,,,,,2000/country/germany/2000-06-22-kieler-woche.kiel.GER.csv,Euro Cup,,GER,2020-08-13,,,,,,,
2000-06-24,2000-06-25,Lee-on-Solent Open,,2,11,Lee-on-the-Solent,,,,,,,2000/country/uk/2000-06-25-open-meeting-lee-on-the-solent.GBR.csv,,,GBR,2020-08-13,,,,,,,
2000-06-25,2000-06-27,Nieuwpoort,,8,19,Nieuwpoort,Yacht Club WSKLuM vzw,,,,,,2000/country/belgium/2000-06-27-nieuwpoort.BEL.csv,Euro Cup,,BEL,2020-08-13,,,,,,,
2000-07-01,2000-07-02,Pokalregatta,,3,20,Kochel am See,Segelclub Walchensee e.V.,,,,,,2000/country/germany/2000-07-02.pokalregatta.kochel-am-see.GER.csv,,,GER,2023-08-03,,,,,,,
2000-07-08,2000-07-09,South East Championship,,5,19,Hayling Island,Hayling Island Sailing Club,,,,,,2000/country/uk/2000-07-09-open-meeting-hayling-island-GBR.csv,,,GBR,2020-07-01,,,,,,,
2000-07-12,2000-07-15,Championnat de France,French Championship,4,30,La Londe,,,,,,,2000/country/france/2000-07-15.championnat-de-france.la-londe.FRA.csv,National,,FRA,2020-08-14,,,,,,,
2000-07-14,2000-07-16,Inofficiellt Svenskt Mästerskap,Inofficial Swedish Championship,9,7,Åhus,Johan Arvedson & Swedish 505 Association,,,,,,2000/country/sweden/2000-07-16.inofficial-swedish-championship.ahus.SWE.csv,National,,SWE,2020-08-27,,,,,,,
2000-07-22,2000-07-23,Santa Cruz YC Regatta,,5,11,"Santa Cruz, CA",Santa Cruz Yacht Club,,,,,,2000/country/usa/2000-07-23.santa-cruz.USA.csv,,,USA,2020-08-27,,,,,,,
2000-07-22,2000-07-23,South West Championship,,5,17,Weymouth,,,,,,,2000/country/uk/2000-07-23.south-west-championships.weymouth.GBR.csv,,,GBR,2020-08-14,,,,,,,
2000-07-22,2000-07-23,Weymouth & Portland Sailing Academy,,5,17,Weymouth,Weymouth & Portland Sailing Academy,,,,,,2000/country/uk/2000-07-23.weymouth-portland-sailing-academy.weymouth.GBR.csv,,,GBR,2020-08-27,,,,,,,
2000-07-22,2000-07-25,Travemünder Woche,Travemuender Week,6,36,Travemünde,Lübecker Yacht-Club e.V.,,,,,111. Travemünder Woche,2000/country/germany/2000-07-25.travemunder-woche.travemunde.GER.csv,,,GER,2023-08-03,,,,,,,
2000-07-29,2000-07-30,Ontario Championship,,7,8,"Toronto,ON",Outer Harbour Centreboard Club,,,,,,2000/country/canada/2000-07-30.ontario-championships.toronto.CAN.csv,,Lake Ontario,CAN,2020-08-18,,,,,,,
2000-07-29,2000-08-03,Deutsche Meisterschaft,German Championship,6,59,Walchensee,Segelclub Walchensee e.V.,,,,,,2000/country/germany/2000-08-03.deutsche-meisterschaft.walchensee.GER.csv,National,,GER,2020-08-14,,,,,,,
2000-08-05,2000-08-06,Eastern Canadian Championship,,,10,"Montreal, QC",Beaconsfield Yacht Club,,,,,,2000/country/canada/2000-08-06.eastern-canadian-championship.montreal.qc.CAN.csv,,,CAN,2020-08-18,,,,,,,
2000-08-05,2000-08-06,Seeshaupt,,4,16,Oberlandpütz,,,,,,,2000/country/germany/2000-08-06.oberlandputz.seeshaupt.GER.csv,,Seeshaupt,GER,2023-08-03,,,,,,,
2000-08-05,2000-08-07,Pacific Coast Championship,,8,29,,Sequoia YC/Stanford SC,,,,,,2000/country/usa/2000-08.pacific-coast-championship.USA.csv,,,USA,2020-08-27,,,,,,,
2000-08-09,2000-08-10,Fleet 4 Championship,,10,11,"Ottawa,ON",Nepean Sailing Club,,,,,,2000/country/canada/2000-08-10.fleet-4-championship.ottawa-on.CAN.csv,,,CAN,2020-08-18,,,,,,,
2000-08-09,2000-08-13,North American Championship,,7,45,"Santa Cruz, CA",Santa Cruz Yacht Club,,,,,,2000/continental/2000-08-13.continetal.north-american-championship.santa-cruz.USA.csv,"Continental,North America",,USA,2021-10-28,,,,,,,
2000-08-12,2000-08-13,Finnish Championship,,4,10,Lahti,,,,,,,2000/country/finland/2000-08-13.finnish-championship.lahti.FIN.csv,National,,FIN,2020-08-27,,,,,,,
2000-08-12,2000-08-18,European Championship,,5,57,Abersoch,South Caernarvonshire Yacht Club,,,,,,2000/continental/2000-08-18.european-championship.abersoch.GBR.csv,"Continental,Europe,Euro Cup",,GBR,2021-10-28,,,,,,,
2000-08-25,2000-08-27,East Coast Championship,,7,24,"South Dartmouth, MA",New Bedford Yacht Club,,,,,,2000/country/usa/2000-08-27.east-coast-championships.south-dartmouth-ma.USA.csv,,,USA,2020-08-27,,,,,,,
2000-08-26,2000-08-26,Richmond Small Boat Invite,,5,9,"Richmond, CA",Richmond Yacht Club,,,,,,2000/country/usa/2000-08-26.richmond-small-boat-invite.richmond-ca.USA.csv,,,USA,2020-12-03,,,,,,,
2000-08-26,2000-08-27,Dansk Mesterskab,Danish Championship,6,15,Århus,Århus Sejlsport,,,,,,2000/country/denmark/2000-08-27.danish-national-championships.arhus.DEN.csv,National,,DEN,2020-08-14,,,,,,,
2000-09-02,2000-09-03,Warnemünde Cup,,4,19,Warnemünde,Warnemünder Segel-Club e. V.,,,,,,2000/country/germany/2000-09-03.warnemunde-cup.warnemunde.GER.csv,,,GER,2023-08-03,,,,,,,
2000-09-09,2000-09-10,Spéciale 5O5,Special 5O5,4,16,Plobsheim,,,,,,,2000/country/france/2000-09-10.special-505.plobsheim.FRA.csv,,,FRA,2024-01-28,,,,,,,
2000-09-16,2000-09-17,TSVS-Regatta,,4,21,Kiel,,,,,,,2000/country/germany/2000-09-17.tsvs-regatta.kiel.GER.csv,,,GER,2024-01-28,,,,,,,
2000-09-23,2000-09-24,Belgian Nationals,,6,23,La Plate Taille,,,,,,,2000/country/belgium/2000-09-24.belgian-nationals.la-plate-taille.BEL.csv,National,,BEL,2024-01-28,,,,,,,
2000-09-23,2000-09-24,Oktoberfestpreis,,3,15,Tutzing,Deutscher Touring Yacht-Club e.V.,,,,,,2000/country/germany/2000-09-24.oktoberfestpreis.tutzing.GER.csv,,,GER,2024-01-28,,,,,,,
2000-09-30,2000-10-03,"Finale II (Sa., So., Mo., Di.!)",,7,31,Wittensee,Wassersport-Club am Wittensee e.V.,,,,,,2000/country/germany/2000-10-03.finale-2.wittensee.GER.csv,,,GER,2024-01-28,,,,,,,
2000-10-08,2000-09-03,Queen Mary Open Meeting,,,7,Ashford,Queen Mary Sailing Club,,,,,,2000/country/uk/2000-09-03.queen-mary-open-meeting.ashford.GBR.csv,,,GBR,2020-08-14,,,,,,,
2000-10-14,2000-10-15,Petermännchen,,3,27,Schwerin,,,,,,,2000/country/germany/2000-10-15.petermannchen.schwerin.GER.csv,,,GER,2024-01-28,,,,,,,
2000-10-21,2000-10-22,Planing Boat Regatta,,,7,"San Diego, CA",,,,,,,2000/country/usa/2000-10-22.planing-boat-regatta.san-diego.ca.USA.csv,,,USA,2020-12-03,,,,,,,
2000-11-04,2000-11-05,Grand Slam & Berliner Meisterschaft,Berlin Championship,3,15,Berlin,Deutscher Touring Yacht-Club e.V.,,,,,,2000/country/germany/2000-11-05.berlin-championship.berlin.GER.csv,,Wannsee,GER,2021-07-07,,,,,,,
2000-11-11,2000-11-23,World Championship,,5,61,Durban,,,,,,,2000/world/2000-11-23.world-championship.durban.RSA.csv,World,,RSA,2021-10-28,,,,,,,
2001-01-01,2001-01-01,Championnat de France,French Championship,,,La Londe,,,,,,,2001/country/france/2001.french-championship.la-londe.FRA.csv,National,,FRA,2024-06-22,,,,,,,
2001-02-02,2001-02-04,Midwinter Championship,,7,12,"St. Petersburg, FL",St. Petersburg Yacht Club,,,,,,2001/country/usa/2001-02-04.midwinter-championship.st-petersburg.USA.csv,,,USA,2020-12-03,,,,,,,
2001-03-10,2001-03-11,St. Francis Spring Dinghy,,6,16,"San Francisco, CA",St. Francis Yacht Club,,,,,,2001/country/usa/2001-03-11.st-francis-spring-dinghy.san-francisco.USA.csv,,,USA,2020-12-04,,,,,,,
2001-03-24,2001-03-25,Kompaßregatta,Kompass Regatta,3,16,Bevertalsperre,,,,,,,2001/country/germany/2001-03-25.kompass-regatta.bevertalsperre.GER.csv,,,GER,2021-07-03,,,,,,,
2001-03-31,2001-04-01,Frühjahrscup,Spring Cup,4,6,Berlin,Yachtclub Berlin-Grünau e.V.,,,,,,2001/country/germany/2001-04-01.spring-cup.berlin.GER.csv,,Müggelsee,GER,2021-07-06,,,,,,,
2001-04-07,2001-04-08,Trapezregatta,Trapeze Regatta,4,13,Wunstorf,Schaumburg Lippischer Segelverein,,,,,,2001/country/germany/2001-04-08.trapeze-regatta.wunstorf.GER.csv,,Steinhuder Meer,GER,2021-07-04,,,,,,,
2001-04-13,2001-04-14,Pääsiäisregatta,The Easter Regate,3,4,Tampere,,,,,,,2001/country/finland/2001-04-14.easter-regate.tampere.FIN.csv,,,FIN,2020-11-13,,,,,,,
2001-04-13,2001-04-15,Cavalaire,,6,37,Cavalaire-sur-Mer,,,,,,,2001/country/france/2001-04-15.cavalaire.FRA.csv,Euro Cup,,FRA,2020-08-13,,,,,,,
2001-04-14,2001-04-15,Spring #1,,7,17,"Santa Cruz, CA",Santa Cruz Yacht Club,,,,,,2001/country/usa/2001-04-15.spring-1.santa-cruz-ca.USA.csv,,,USA,2020-12-04,,,,,,,
2001-04-14,2001-04-15,SSA Spring I,,5,10,"Eastport, MD",Severn Sailing Association,,,,,,2001/country/usa/2001-04-15.ssa-spring-i.eastport-md.USA.csv,,Chesapeake Bay,USA,2020-12-04,,,,,,,
2001-04-21,2001-04-22,Inland Championship,,,,Huntingdon,Grafham Water Sailing Club,,,,,,2001/country/uk/2001-04-22.inland-championships.huntingdon.GBR.csv,,,GBR,2020-08-13,,,,,,,
2001-04-27,2001-04-30,South African National Championship,,,9,Durban,Point Yacht Club,,,,,,2001/country/south-africa/2001-04-30.south-african-national-championship.RSA.csv,National,,RSA,2020-08-12,,,,,,,
2001-04-28,2001-04-29,West River Spring,,6,8,"Galesville, MD",West River Sailing Club,,,,,,2001/country/usa/2001-04-29.west-river-spring.galesville-md.USA.csv,,,USA,2020-12-04,,,,,,,
2001-04-28,2001-05-05,Bermuda International Race Week,,6,4,Hamilton,Royal Bermuda Yacht Club,,,,,,2001/country/bermuda/2001-05-05.bermuda-international-race-week.hamilton.BER.csv,,,BER,2020-12-04,,,,,,,
2001-05-05,2001-05-06,Malmö – GUL,,5,14,Malmö,Malmö Segel Sällskap,,,,,,2001/country/sweden/2001-05-06.gul-regattan.malmo.SWE.csv,,,SWE,2020-07-24,,,,,,,
2001-05-05,2001-05-06,Régional Est,Regional East,6,8,Plobsheim,,,,,,,2001/country/france/2001-05-06.regional-east.plobsheim.FRA.csv,,,FRA,2023-07-14,,,,,,,
2001-05-12,2001-05-13,Bristol Spring,,8,9,"Bristol, RI",Bristol Yacht Club,,,,,,2001/country/usa/2001-05-13.bristol-spring.bristol-ri.USA.csv,,,USA,2020-12-04,,,,,,,
2001-05-12,2001-05-13,Hoover Regatta,,8,10,"Westerville, OH",Hoover Yacht Club,,,,,,2001/country/usa/2001-05-13.hoover-regatta.columbus-oh.USA.csv,,Hoover Reservoir,USA,2020-12-04,,,,,,,
2001-05-12,2001-05-13,Küchenschlacht,Kitchen Fight,3,12,Riegsee,,,,,,,2001/country/germany/2001-05-13.kitchen-fight.riegsee.GER.csv,,,GER,2023-06-28,,,,,,,
2001-05-12,2001-05-13,Open Meeting,,5,13,Ipswich,Shotley Sailing Club,,,,,,2001/country/uk/2001-05-13.open-meeting.ipswich.GBR.csv,,,GBR,2020-08-14,,,,,,,
2001-05-19,2001-05-20,Hampton Trapeze,,7,7,"Hampton, VA",Hampton Yacht Club,,,,,,2001/country/usa/2001-05-20.hampton-trapeze.hampton-va.USA.csv,,,USA,2020-12-04,,,,,,,
2001-05-19,2001-05-20,MYC Regatta Starnberg,,4,17,Starnberg,Münchner Yacht-Club e. V.,,,,,,2001/country/germany/2001-05-20.myc-regatta.starnberg.GER.csv,,Starnberger See,GER,2021-07-02,,,,,,,
2001-05-19,2001-05-20,SOCKS,,5,15,"Seattle, WA",Seattle Yacht Club,,,,,,2001/country/usa/2001-05-20.socks-seattle.wa-USA.csv,,,USA,2020-12-04,,,,,,,
2001-05-24,2001-05-27,Riva del Garda,Riva Cup,7,40,Riva del Garda,Fraglia Vela Riva,,,,,,2001/country/italy/2001-05-27.riva-cup.riva-del-garda.ITA.csv,Euro Cup,Lago di Garda,ITA,2020-08-14,,,,,,,
2001-05-26,2001-05-27,Eck-Days,,6,37,Eckernförde,,,,,,,2001/country/germany/2001-05-27.eck-days.eckernfoerde.GER.csv,,,GER,2021-07-16,,,,,,,
2001-05-26,2001-05-28,East Coast Championship,,7,27,"Hampton, VA ",Hampton Yacht Club,,,,,,2001/country/usa/2001-05-28.east-coast-championship.hampton.va.USA.csv,,,USA,2020-12-04,,,,,,,
2001-06-02,2001-06-03,Invitational Regatta,,5,13,"San Diego, CA",Mission Bay Yacht Club,,,,,,2001/country/usa/2001-06-03.invitational-regatta.san-diego.ca.USA.csv,,,USA,2020-12-04,,,,,,,
2001-06-02,2001-06-03,Québec Championship,,7,9,"Vaudreuil-sur-le-Lac, QC",Club Nautique Deux-Montagnes,,,,,,2001/country/canada/2001-06-03.quebec-championship.vaudreuil-sur-le-lac-qc.CAN.csv,,,CAN,2020-08-18,,,,,,,
2001-06-02,2001-06-04,Pfingstbusch,Pentecost Bush,5,31,Kiel,,,,,,,2001/country/germany/2001-06-04.pentecost-bush.kiel.GER.csv,,,GER,2023-06-28,,,,,,,
2001-06-02,2001-06-04,Pfingstregatta,,5,15,Herrsching a. Ammersee,Herrschinger Segelclub e.V.,,,,,,2001/country/germany/2001-06-04.pfingstregatta.herrsching.GER.csv,,,GER,2023-06-28,,,,,,,
2001-06-09,2001-06-10,Falmouth High Performance Regatta,,,,"Falmouth, MA",Falmouth YC,,,,,,2001/country/usa/2001-06-10.falmouth-high-performance-regatta.falmouth.ma.csv,,,USA,2020-12-04,,,,,,,
2001-06-10,2001-06-10,Timberline Regatta,,6,3,Longmont,,,,,,,2001/country/usa/2001-06-10.timberline-regatta.longmont.csv,,,USA,2020-12-04,,,,,,,
2001-06-15,2001-06-17,Canadian Championship,,9,12,"Windsor,ON",South Port Sailing Club,Renka & Adam Gesing,,,,,2001/country/canada/2001-06-17.canadian-championships.windsor-on.CAN.csv,National,Lake St. Clair,CAN,2020-08-18,,,,,,,
2001-06-16,2001-06-19,Kieler Woche,Kiel Week,7,54,Kiel,Kieler Yacht-Club e.V.,,,,,,2001/country/germany/2001-06-19.euro-cup.kieler-woche.kiel.GER.csv,Euro Cup,,GER,2023-06-28,,,,,,,
2001-06-20,2001-07-01,South East Championship,,4,21,Hayling Island,Hayling Island Sailing Club,,,,,,2001/country/uk/2001-07-01.south-east-championships.hayling-island.GBR.csv,,,GBR,2020-08-14,,,,,,,
2001-06-23,2001-06-23,Nepean One Design,,5,6,Ottawa,Nepean Sailing Club,,,,,,2001/country/canada/2001-06-23.nepean-one-design.ottawa.CAN.csv,,,CAN,2020-08-18,,,,,,,
2001-06-30,2001-07-01,Pokalregatta,,2,18,Kochel am See,Segelclub Walchensee e.V.,,,,,,2001/country/germany/2001-07-01.pokalregatta.kochel-am-see.GER.csv,,,GER,2023-07-11,,,,,,,
2001-06-30,2001-07-01,Region II Co-Ed Championship,,5,7,"Eastport, MD",Severn Sailing Association,,,,,,2001/country/usa/2001-07-01.region-ii-co-ed-championship.eastport.md.csv,,Chesapeake Bay,USA,2020-12-04,,,,,,,
2001-06-30,2001-07-01,Summer Series,,5,7,"Annapolis, MD",Severn Sailing Association,,,,,,2001/country/usa/2001-07-01.summer-series.annapolis-md.USA.csv,,Chesapeake Bay,USA,2022-04-21,,,,,,,
2001-07-07,2001-07-08,Hampton Annual,,5,10,"Hampton, VA ",Hampton Yacht Club,,,,,,2001/country/usa/2001-07-08.hampton-annual.hampton.va.USA.csv,,,USA,2020-12-04,,,,,,,
2001-07-08,2001-07-09,Berlin Cup,,4,9,Berlin,,,,,,,2001/country/germany/2001-07-09.berlin-cup.berlin.GER.csv,,Werbellinsee,GER,2021-07-06,,,,,,,
2001-07-08,2001-07-09,Werbellinsee Cup,,4,9,Werbellinsee,,,,,,,2001/country/germany/2001-07-09.werbellinsee-cup.werbellinsee.GER.csv,,,GER,2023-07-11,,,,,,,
2001-07-12,2001-07-15,Internationale Deutsche Meisterschaft,Internatonal German Championship,4,56,Flensburg,,,,,,,2001/country/germany/2001-07-15.internatonal-german-championship.flensburg.GER.csv,National,,GER,2023-07-11,,,,,,,
2001-07-14,2001-07-15,Eastern Canadian Championship,,6,10,"Toronto,ON",Outer Harbour Centreboard Club,,,,,,2001/country/canada/2001-07-15.eastern-canadian-championship.toronto-on.CAN.csv,,,CAN,2020-08-18,,,,,,,
2001-07-14,2001-07-15,Newport Creamery,,3,13,"Newport, RI",Sail Newport,,,,,,2001/country/usa/2001-07-15.newport-creamery.newport.ri.USA.csv,,,USA,2020-12-04,,,,,,,
2001-07-14,2001-07-15,Open Meeting,,4,5,Poole,Poole Yacht Club,,,,,,2001/country/uk/2001-07-15.open-meeting.poole.GBR.csv,,,GBR,2020-08-14,,,,,,,
2001-07-21,2001-07-24,Travemünder Woche,Travemuender Week,6,36,Travemünde,Lübecker Yacht-Club e.V.,,,,,112. Travemünder Woche,2001/country/germany/2001-07-24.travemunder-woche.travemunde.GER.csv,,,GER,2023-07-11,,,,,,,
2001-08-04,2001-08-05,Open Meeting,,3,11,Lyme Regis,Lyme Regis Sailing Club,,,,,,2001/country/uk/2001-08-05.open-meeting.lyme-regis.GBR.csv,,,GBR,2020-08-14,,,,,,,
2001-08-04,2001-08-05,Seeshaupt,,3,11,Oberlandpütz,,,,,,,2001/country/germany/2001-08-05.oberlandputz.seeshaupt.GER.csv,,Seeshaupt,GER,2023-07-11,,,,,,,
2001-08-08,2001-08-09,Fleet 4 Championship,,8,14,"Ottawa,ON",Britannia Yacht Club,,,,,,2001/country/canada/2001-08-09.fleet-4-championship.ottawa-on.CAN.csv,,,CAN,2020-08-18,,,,,,,
2001-08-08,2001-08-12,North American Championship,,6,35,"Kingston,ON",Kingston Yacht Club,,,,,,2001/continental/2001-08-12-north-american-championship-kingston-ontario-CAN.csv,"Continental,North America",,CAN,2021-10-28,,,,,,,
2001-08-11,2001-08-12,Highvelds,,,12,Pretoria,Pretoria Sailing Club,,,,,,2001/country/south-africa/2001-08-12.highvelds.pretoria.RSA.csv,,,RSA,2020-08-12,,,,,,,
2001-08-18,2001-08-19,5O5 Regatta,,5,13,Osnabrück,,,,,,,2001/country/germany/2001-08-19.regatta.osnabruck.GER.csv,,Alfsee,GER,2023-07-14,,,,,,,
2001-08-18,2001-08-19,Warnemünde Cup,,8,26,Warnemünde,Warnemünder Segel-Club e. V.,,,,,,2001/country/germany/2001-08-19.warnemunde-cup.warnemunde.GER.csv,,,GER,2023-07-14,,,,,,,
2001-08-19,2001-08-20,Pre-Worlds,,1,34,Cascais,Clube Naval de Cascais,,,,,,2001/world/2001-08-20.pre-world.cascais.POR.csv,Pre-Worlds,,POR,2021-10-28,,,,,,,
2001-08-21,2001-08-28,World Championship,,7,105,Cascais,Clube Naval de Cascais,,,,,,2001/world/2001-08-28.world-championship.cascais.POR.csv,World,,POR,2021-10-28,,,,,,,
2001-08-25,2001-08-26,Classic Championship,,5,4,"Vancouver, BC",Kitsilano Yacht Club,,,,,,2001/country/canada/2001-08-26.classic-championship.vancouver-bc.CAN.csv,,,CAN,2024-09-17,,,,,,,
2001-08-25,2001-08-26,Western Canadian Championship,,5,10,"Vancouver, BC",Kitsilano Yacht Club,,,,,,2001/country/canada/2001-08-26.western-canadian-championship.vancouver-bc.CAN.csv,,,CAN,2024-09-17,,,,,,,
2001-08-25,2001-08-27,UK National Championship,,6,29,Pevensey,Pevensey Bay Sailing Club,,,,,,2001/country/uk/2001-08-27.uk-championship.pevensey.GBR.csv,National,,GBR,2020-08-14,,,,,,,
2001-09-08,2001-09-08,Spéciale 5O5,Special 5O5,6,19,Plobsheim,,,,,,,2001/country/france/2001-09-08.special-505.plobsheim.FRA.csv,,,FRA,2023-07-14,,,,,,,
2001-09-09,2001-09-09,Fall Series,,3,8,"Annapolis, MD",Severn Sailing Association,,,,,,2001/country/usa/2001-09-09.fall.annapolis-md.USA.csv,,Chesapeake Bay,USA,2022-04-21,,,,,,,
2001-09-15,2001-09-16,TSVS-Regatta,,4,17,Kiel,,,,,,,2001/country/germany/2001-09-16.tsvs-regatta.kiel.GER.csv,,,GER,2023-07-14,,,,,,,
2001-09-20,2001-09-21,Mid-Atlantics Championship,,6,14,"Annapolis, MD",Severn Sailing Association,,,,,,2001/country/usa/2001-09-21.mid-atlantics-championship.annapolis-md.USA.csv,,Chesapeake Bay,USA,2022-04-21,,,,,,,
2001-09-29,2001-09-30,Kehraus-Regatta,Clean-up Regatta,4,15,Steinhude,,,,,,,2001/country/germany/2001-09-30.clean-up-regatta.steinhude.GER.csv,,Steinhuder Meer,GER,2023-07-14,,,,,,,
2001-09-29,2001-09-30,Oktoberfestpreis,,3,12,Tutzing,,,,,,,2001/country/germany/2001-09-30.oktoberfestpreis.tutzing.GER.csv,,,GER,2023-07-14,,,,,,,
